date,epochs,best_epoch,hidden_dim,lstm_layer,batch_size,sequence_length,learning_rate,dropout,model_name,midi_method,train_loss,validation_loss,train_perplexities,validation_perplexities
28/07/2024 12:21,15,15,40,2,16,3,0.0001,0.1,naive,graph,"[6.043801974682872, 5.650656188618942, 5.386614395100125, 5.23009841705496, 5.123108165816094, 5.040746012569415, 4.973382150592505, 4.91692396107301, 4.867763921974598, 4.824582330091561, 4.787348696727951, 4.752340353358182, 4.7205998260970725, 4.690177430592019, 4.6637818951498655]","[5.919056741921407, 5.658819971444472, 5.475203821344196, 5.3752193169773745, 5.304722949019018, 5.253436954066438, 5.216001508145962, 5.186514790328044, 5.165213893494516, 5.149259713685738, 5.133077766085571, 5.122972610086765, 5.114777585695375, 5.109602931760392, 5.1029594430383645]","[421.4924962038599, 284.4780758672543, 218.46250437092027, 186.81118802243776, 167.85628482282863, 154.58529459335466, 144.51483268050526, 136.58183531155336, 130.02983472045042, 124.53444322977978, 119.98283570118043, 115.85510938495192, 112.23555429564088, 108.87249540509067, 106.0363431388836]","[372.06059914044476, 286.80999880210277, 238.69911394710402, 215.98723678443068, 201.28522841794245, 191.22236280715325, 184.1962026317628, 178.84415610430287, 175.07490194978752, 172.3038888810506, 169.53811454009073, 167.83353248385674, 166.46375294583194, 165.6045854958944, 164.50803977748004]"
28/07/2024 12:49,15,15,40,2,16,3,0.0001,0.3,naive,graph,"[6.054627964124641, 5.701640597807223, 5.4976719481503125, 5.339193055734645, 5.228429105419027, 5.142606751932733, 5.075040688501503, 5.01985516686576, 4.97488085726418, 4.938116250789915, 4.903813402546847, 4.873690645442105, 4.845683390696314, 4.820934504823864, 4.797182963437112]","[5.926144596765626, 5.735817169243434, 5.5655402707603745, 5.448710512665083, 5.369188415554334, 5.312443531009386, 5.2704043606542195, 5.238443394651953, 5.212997947773843, 5.195508448132929, 5.179922336452412, 5.165002427685936, 5.154111177516433, 5.146323060764456, 5.135326906645073]","[426.080358784658, 299.35812459972726, 244.1229393382128, 208.34452002248705, 186.49960207193118, 171.16136250476842, 159.97870114058347, 151.38937600833822, 144.73158040445946, 139.50720529529846, 134.8028583387568, 130.80277382901744, 127.19017288095266, 124.08099090132507, 121.16859991220716]","[374.70707851181413, 309.7659986085634, 261.26632013923734, 232.45822063000583, 214.68855908560494, 202.84528203912006, 194.49459250753824, 188.37664597242568, 183.64378823713028, 180.45987396074807, 177.66901205176163, 175.03788350828987, 173.141845981566, 171.79863440404438, 169.9198587271262]"
28/07/2024 13:17,15,3,40,2,16,3,0.001,0.1,naive,graph,"[5.298389777609942, 4.769572736813675, 4.595590954720026, 4.49045818496917, 4.418548209420937, 4.36378046253031, 4.319670738128653, 4.28528079985105, 4.256465796654451, 4.231405635676833, 4.210498318010409, 4.192343884461329, 4.177197185023918, 4.16234240633168, 4.149720132430403]","[5.2020642138877005, 5.120810890197754, 5.1188708271620404, 5.12050430234873, 5.127027755863262, 5.144697684611915, 5.150878119468689, 5.167797509454331, 5.175940941414743, 5.186029139329802, 5.186771572760816, 5.191195017211842, 5.2074353065130845, 5.207402020355441, 5.210327402375779]","[200.01448273672992, 117.86887017139343, 99.04665034169034, 89.16228934180687, 82.97573448259196, 78.55354251432207, 75.163875618847, 72.62293636663004, 70.56016828269006, 68.81389148497627, 67.3901131514284, 66.17772225383118, 65.18290133160424, 64.2217800534568, 63.41624966265953]","[181.64681301875945, 167.471115262034, 167.14652570567313, 167.41977852304453, 168.51550373614543, 171.51962381065252, 172.58297226540674, 175.52781308290952, 176.96304782262, 178.75732134876074, 178.89008603854217, 179.68314913911286, 182.62507970527798, 182.61900091925554, 183.15401343757094]"
28/07/2024 13:59,15,5,40,2,16,3,0.001,0.3,naive,graph,"[5.377969964563767, 4.903252983499226, 4.7507062344712985, 4.66340265940221, 4.604059308843743, 4.559993578355879, 4.526623709456886, 4.500881151732866, 4.4788443867103025, 4.462071069094668, 4.444719862138226, 4.433801763766191, 4.420262727728622, 4.41050554170451, 4.402253614619935]","[5.245958064412171, 5.143950699185425, 5.12579051413626, 5.12242047674251, 5.102165627929399, 5.121611854940091, 5.114492998258123, 5.116228072148449, 5.11355176399339, 5.122715785368434, 5.1191305970245935, 5.12362337202396, 5.124756461269451, 5.124015734780509, 5.11959082742907]","[216.58215939209902, 134.72733341404992, 115.66594296486886, 105.99613799111113, 99.88897396512506, 95.58286602894579, 92.44590932811934, 90.09648500794893, 88.13276640875438, 86.66681631822418, 85.17601346853449, 84.25111164679969, 83.11811992480035, 82.31106466368526, 81.63463452433608]","[189.7975664448592, 171.3915489922758, 168.3071382490938, 167.74089157171014, 164.37750262799398, 167.6053074551522, 166.41638619329672, 166.70538156156096, 166.25982308123994, 167.79043421873683, 167.18995097572594, 167.942787704296, 168.1331897217693, 168.00869512838594, 167.26691458362558]"
28/07/2024 15:05,15,15,40,2,16,5,0.0001,0.1,naive,graph,"[6.0341045847118355, 5.5822107848045475, 5.305110607283146, 5.141927044466985, 5.023920399274394, 4.93164768624813, 4.854848734531194, 4.789687222031812, 4.732634759397453, 4.682511493111169, 4.63792043351802, 4.597248145603636, 4.55978879707457, 4.525220104471462, 4.49314472845728]","[5.906737155334125, 5.595500846099491, 5.4258954305159275, 5.3230634023481445, 5.252979613075691, 5.210227632023989, 5.176368145661662, 5.1519288051264365, 5.130820349142125, 5.115863158222387, 5.10751365776751, 5.09836629021757, 5.090382623808465, 5.083251135430862, 5.080885972133608]","[417.4248736357935, 265.6582703199874, 201.36327342660456, 171.045062378336, 152.00606164193752, 138.60770630386787, 128.3612731179586, 120.26374692948622, 113.59446248831104, 108.04107653610028, 103.32924396730303, 99.21092562784649, 95.56329445118396, 92.31624281047769, 89.40214976308317]","[367.5050850155331, 269.2124503380463, 227.2147102377734, 205.01095205054017, 191.13492897735526, 183.135741008757, 177.03866333868237, 172.76439801316275, 169.15582798018897, 166.6445595443551, 165.2589533281909, 163.75416187412497, 162.45200816949784, 161.2976047611257, 160.91656038013207]"
28/07/2024 16:08,15,15,40,2,16,5,0.0001,0.3,naive,graph,"[6.035516996468377, 5.629681746099291, 5.370538614131625, 5.211940247518567, 5.100337046725866, 5.016724318887694, 4.9501469652654215, 4.893826937828151, 4.844199800264784, 4.799727994089062, 4.7594612275143096, 4.722963041767703, 4.691485974001161, 4.661611051998757, 4.636240275604029]","[5.932795102605349, 5.638368789460722, 5.467942080343631, 5.3628224898200525, 5.295032544054459, 5.245961680838364, 5.209376661269837, 5.182650704120955, 5.160667497622196, 5.146548238997224, 5.129173211498405, 5.118464735071015, 5.110790697567364, 5.100706549198455, 5.095609043487578]","[418.01486599277837, 278.5734464378488, 214.97862705325457, 183.4496508431165, 164.0771996642593, 150.91614008798706, 141.1957132621993, 133.46335393901273, 127.0016146636507, 121.47737046163039, 116.68304334751447, 112.50110476928765, 109.0150530424766, 105.80640454022793, 103.15578028430092]","[377.20737502842616, 281.00396778369316, 236.97202124404402, 213.32620857432474, 199.3441133266879, 189.79825283499102, 182.97996413929908, 178.15442032495042, 174.28074877348703, 171.8373240728035, 168.87743438749297, 167.07866260380877, 165.80140182273692, 164.13783779751085, 163.3032731381746]"
28/07/2024 16:58,15,3,40,2,16,5,0.001,0.1,naive,graph,"[5.2128622844873735, 4.635847544084031, 4.4383035248356695, 4.320717667553253, 4.241077814435102, 4.182629283093589, 4.137158707384481, 4.102179949871151, 4.0733165958404935, 4.048652247908785, 4.028116159561226, 4.011201670115163, 3.996285241390402, 3.9816946860951496, 3.969569963552912]","[5.160639510861821, 5.107415011400506, 5.105819394833235, 5.123055699433664, 5.15031112305565, 5.161157747638542, 5.169549230613636, 5.1900456645189585, 5.197509930387649, 5.216946272115743, 5.2202043725963785, 5.225159588422159, 5.239794160023388, 5.261854231584208, 5.250141820980115]","[183.61887620714046, 103.11527571214498, 84.63124501409159, 75.24260809838279, 69.48270095285834, 65.53794468622188, 62.62463351828553, 60.471969877772, 58.75149478446891, 57.3201516086665, 56.155024435641685, 55.21317874206386, 54.395707330925475, 53.607805694096946, 52.96175045883133]","[174.27587128818598, 165.24265193687995, 164.97919826524716, 167.84747824182247, 172.48514607535097, 174.3662108606052, 175.8355583303704, 179.47674846409132, 180.82142289235986, 184.37030679810132, 184.97198341248435, 185.89083418382407, 188.63127055291037, 192.8387276548998, 190.5932966701381]"
28/07/2024 17:34,15,7,40,2,16,5,0.001,0.3,naive,graph,"[5.296343124545672, 4.776199655625427, 4.603784243003122, 4.503309417795332, 4.4351712451003795, 4.386972997780059, 4.349613384332718, 4.321519527571232, 4.299152859452588, 4.279371417521741, 4.263565446074111, 4.25147664578979, 4.237713104509859, 4.228312360331727, 4.219203925260801]","[5.2173123346082155, 5.125131597310418, 5.106936164681902, 5.104682554990166, 5.101005725080976, 5.099471576313555, 5.097867570902459, 5.1035633483767056, 5.108753307690638, 5.131365574358081, 5.112786669241611, 5.117179550598783, 5.122435719114746, 5.131316022727879, 5.127370347088281]","[199.60554110630636, 118.6525714989002, 99.86150169904676, 90.31552908585918, 84.36657101326313, 80.39668932441373, 77.44851432728868, 75.30296633365911, 73.63738605377279, 72.19504520119959, 71.06290324980262, 70.20900967812838, 69.2493046948776, 68.60136004963414, 67.97934610303756]","[184.43781020662487, 168.19627437283998, 165.16354497679228, 164.79174990894995, 164.18695122639943, 163.93525713500472, 163.67251487182924, 164.60741706511868, 165.46394360882206, 169.24808115012155, 166.13266721251557, 166.8640736237379, 167.7434483603043, 169.23969483957146, 168.5732455593613]"
28/07/2024 17:50,15,15,40,2,64,3,0.0001,0.1,naive,graph,"[6.4840171736121865, 5.9051598673281465, 5.8266095391446395, 5.733504910856314, 5.605588823776934, 5.483494782467374, 5.386564642215381, 5.307065284281505, 5.239446162003978, 5.179514853459485, 5.128375713310836, 5.081309043549435, 5.040283895888418, 5.001951584765127, 4.967893747152902]","[6.074409162773276, 6.026069723885015, 5.941100791715226, 5.8349771283707526, 5.716320910543765, 5.6179768994169414, 5.541847191216811, 5.4813626514290865, 5.430612448026549, 5.387389717461928, 5.35374054099029, 5.3231471700488395, 5.299367249686763, 5.2772265731163746, 5.257912489153304]","[654.5952944543395, 366.9258805590037, 339.20666033435, 309.0505670303265, 271.94200421861774, 240.6863858342063, 218.45163550150053, 201.75725851683887, 188.56563866490504, 177.59662969927066, 168.74280862868218, 160.98465398037445, 154.51387465353, 148.70308277611878, 143.7238495784731]","[434.5926531277812, 414.0843611187156, 380.3533890370219, 342.05691056196656, 303.7852114920322, 275.33179548093625, 255.148873185286, 240.17375760994992, 228.28901777640434, 218.63194891435822, 211.39756205500566, 205.02812606591462, 200.2100868917905, 195.8260123910531, 192.0801031931457]"
28/07/2024 18:07,15,15,40,2,64,3,0.0001,0.3,naive,graph,"[6.471328136664712, 5.903259379048148, 5.821186228792036, 5.749123168245899, 5.638969048405397, 5.537109525405158, 5.444140036444472, 5.366156487507934, 5.30561798727835, 5.25624903486438, 5.213765696485674, 5.17595081391933, 5.141532037569129, 5.108966243961388, 5.078916210146396]","[6.077762837679881, 5.993316391279112, 5.937887753180738, 5.855465894375207, 5.756532417153412, 5.668536742228382, 5.5893822175151895, 5.52956481159858, 5.48371237358957, 5.446273889181749, 5.415851197152768, 5.389838937543473, 5.364916955300097, 5.344766812054616, 5.3247092363969335]","[646.3415871209806, 366.2292044454586, 337.37201675918817, 313.91528868283945, 281.17269356335754, 253.94292204433793, 231.39820010488503, 214.0386245972553, 201.46546704661688, 191.76085232490124, 183.78483465616017, 176.96479489974539, 170.97751174121453, 165.49918063540497, 160.59990502660585]","[436.052582298749, 400.741423957387, 379.1332601515642, 349.13752337671326, 316.2498030116309, 289.61044945370736, 267.5702684180543, 252.03420479111801, 240.73876275316687, 231.89249697839014, 224.94393584940315, 219.16808296123568, 213.773481189191, 209.50902392340376, 205.34864387192098]"
