date,epochs,best_epoch,hidden_dim,lstm_layer,batch_size,sequence_length,learning_rate,dropout,model_name,midi_method,train_loss,validation_loss,train_perplexities,validation_perplexities
2024-07-28 23:04:03,15,15,40,2,16,3,0.0001,0.1,merge,graph,"[6.056012762181025, 5.665049046733487, 5.40213912987736, 5.252760658436328, 5.146069157342444, 5.059087242049576, 4.987806386856657, 4.929994022067308, 4.881768349978065, 4.840477955330334, 4.803583393024535, 4.771195646358986, 4.741536457558903, 4.71409006018017, 4.689347975559022]","[5.939541663988582, 5.67001770734787, 5.4945354137780535, 5.394882869720459, 5.3188666467396715, 5.265482075259371, 5.224101994172582, 5.194582700279524, 5.169683298974667, 5.150264229639522, 5.1318535075997405, 5.1199906452646795, 5.109156461481778, 5.099378992026707, 5.091171823357636]","[426.6708027658488, 288.6021357615293, 221.8805402097471, 191.09308367918953, 171.75501968007026, 157.44673995317584, 146.61445509204748, 138.37868511902244, 131.86363889739314, 126.52981287861118, 121.94661817371181, 118.06031599349596, 114.61016011604615, 111.50730006368195, 108.7822280073709]","[379.7608315786688, 290.03967017959985, 243.35843891560134, 220.27634455558112, 204.15237406886376, 193.53958694864514, 185.69434102987194, 180.29289092382257, 175.8591338958202, 172.47705784726384, 169.33068306547315, 167.33380425033334, 165.5306644734659, 163.92008000872607, 162.5802658248921]"
2024-07-28 23:35:46,15,15,40,2,16,3,0.0001,0.3,merge,graph,"[6.060518056946004, 5.703921079317696, 5.447959935020723, 5.298721801245417, 5.201932156045616, 5.128290327014232, 5.071382247162961, 5.022649239559567, 4.9819169049874885, 4.945808269094964, 4.913780547910036, 4.884481091171133, 4.856665573849875, 4.832469012874471, 4.809517539333767]","[5.939659845604087, 5.706244377370151, 5.5207666460073215, 5.4180955128849675, 5.351578691320599, 5.299776159367472, 5.262208202649962, 5.235694922816078, 5.210948739636619, 5.189419517427121, 5.172547952409061, 5.158257927084869, 5.146124616209066, 5.1316494811255975, 5.119049279869728]","[428.59741722411985, 300.0415842802694, 232.28380814959579, 200.08090329842383, 181.62282671643516, 168.728400920294, 159.3944977355787, 151.81296041721944, 145.75350966682203, 140.5844349960258, 136.15317625184377, 132.2218364514644, 128.59469690850642, 125.52049008748233, 122.67241862102766]","[379.80571497939457, 300.73948070546567, 249.82649227400356, 225.44934800357254, 210.9410459427044, 200.2919714750545, 192.9069990671858, 187.85960892279738, 183.26784921213388, 179.36440479548915, 176.36363162828292, 173.8613125495412, 171.7645452829356, 169.29613864735083, 167.17635611734553]"
2024-07-29 00:05:24,15,8,40,2,16,3,0.001,0.1,merge,graph,"[5.331203753232393, 4.800279827506277, 4.630112386309852, 4.532848577986547, 4.469602599023171, 4.423639468993147, 4.386356204262097, 4.356973817818274, 4.3334755266565015, 4.312688976841128, 4.29456868708739, 4.279756522053926, 4.266711216949171, 4.255357125243452, 4.245004935342356]","[5.197265170655161, 5.09756094824593, 5.068176551360004, 5.059326286135979, 5.062881733786385, 5.055709867432433, 5.053740630284795, 5.051039572256916, 5.051440375256089, 5.05933462808717, 5.066622104959668, 5.073090248062925, 5.065856866341717, 5.071092456916593, 5.0822007800048254]","[206.68662416158645, 121.54442423364098, 102.52558593530235, 93.02316777474695, 87.32201426348522, 83.39926271627134, 80.34711645725604, 78.0206720468708, 76.2086921697715, 74.64092705710136, 73.30059213406933, 72.22285319445633, 71.28680284491556, 70.48198358993498, 69.75610441331034]","[180.7771705050868, 163.62233686376877, 158.88434559634, 157.48438116406035, 158.04530521419747, 156.9158802906919, 156.60717976220235, 156.18474544870892, 156.2473573097825, 157.48569489656077, 158.63756025424377, 159.66697631174605, 158.5162111033296, 159.3483134570101, 161.12827389112508]"
2024-07-29 00:39:25,15,8,40,2,16,3,0.001,0.3,merge,graph,"[5.391812745088528, 4.899099786632036, 4.750732752442641, 4.666628810146158, 4.609889466697246, 4.567867475823263, 4.5349774134197, 4.510308295570895, 4.492013975588135, 4.472917012696829, 4.45793838202128, 4.446670693120586, 4.436768360511622, 4.427669506853624, 4.417604534084803]","[5.239652473971529, 5.129597893076123, 5.093324595577312, 5.088890152607324, 5.0777530739892205, 5.082290159531359, 5.072684926356909, 5.05388591626905, 5.062530212357359, 5.065759778247689, 5.07003049085725, 5.0591734366596866, 5.0564011663760775, 5.059939865571148, 5.064225933686743]","[219.60110578829625, 134.16894462690962, 115.66901023169837, 106.33864971069313, 100.47304340527114, 96.33844649353077, 93.22140972778854, 90.94985362580296, 89.30111515908023, 87.61191570283007, 86.30938856397596, 85.34233965895602, 84.5014218215096, 83.73604306552305, 82.89746926275004]","[188.6045460262196, 168.94916875382333, 162.93064110840004, 162.2097340642713, 160.41321406478207, 161.14267610357854, 159.60227293424043, 156.62993424336904, 157.98975866613063, 158.50082181359164, 159.17918077898233, 157.46031159843224, 157.02439357621628, 157.58103999260507, 158.25789254564333]"
2024-07-29 01:17:00,15,15,40,2,16,5,0.0001,0.1,merge,graph,"[6.050346175246779, 5.640786560181128, 5.337183656832375, 5.150174310916072, 5.0208105367216485, 4.92211951184583, 4.845806401565385, 4.783797785507404, 4.730434687195226, 4.6834455112168865, 4.6423846951350525, 4.605314957950263, 4.571311029514185, 4.541356813535787, 4.512880787945956]","[5.957028524050695, 5.628148387140194, 5.4202969314480915, 5.3086600967686435, 5.235340798762361, 5.1828677717723775, 5.150513404449129, 5.123242978813984, 5.102276572256487, 5.08822981712936, 5.07281649022048, 5.062068463958261, 5.054522393320903, 5.045064750279764, 5.039172616748302]","[424.25987289281534, 281.68419293218074, 207.92629310573582, 172.461549627648, 151.5340779656162, 137.29329979606194, 127.20581961699564, 119.55754283908944, 113.34482118420564, 108.1420359993899, 103.79156393588654, 100.01447824421379, 96.67076495637825, 93.81800734398169, 91.18412262918685]","[386.4600596168083, 278.1466206701732, 225.94620307564452, 202.0792802259606, 187.7930950943243, 178.1930960840371, 172.52004014014457, 167.8789155572245, 164.3957403910809, 162.1026565794194, 159.62327220724475, 157.91682398802396, 156.72965733451124, 155.25435163561048, 154.34226198022196]"
2024-07-29 02:30:18,15,15,40,2,16,5,0.0001,0.3,merge,graph,"[6.049951834512186, 5.673217832488084, 5.387780684820016, 5.221962921236744, 5.11418661039936, 5.032795005286929, 4.966252787894785, 4.9111129741387, 4.863682180735426, 4.821094087913149, 4.783669679846012, 4.750639057730722, 4.719683785153873, 4.690877286517603, 4.66574069848363]","[5.959408939564636, 5.662296883733553, 5.464502605195281, 5.356159968521205, 5.287240205382213, 5.2354254781519955, 5.201305949642631, 5.173010049890656, 5.150768988259392, 5.134308861915603, 5.118027955180339, 5.105197898788597, 5.095950409939987, 5.083905770071559, 5.075233940162586]","[424.0926029257287, 290.969320124518, 218.717443581542, 185.29755182246097, 166.3654060433162, 153.36105919209515, 143.48819799709628, 135.7904616091122, 129.50016829776976, 124.1007937092293, 119.5422278219808, 115.65817316480263, 112.13278900841486, 108.94871713513662, 106.2442510401923]","[387.38109092193326, 287.8089476339533, 236.15836194871514, 211.90964235740674, 197.7967929350938, 187.80899797230794, 181.50912894226957, 176.44514765102718, 172.56413910460086, 169.74696073439472, 167.00570193885792, 164.87669620169063, 163.35902891322678, 161.4032303299699, 160.00962027780778]"
2024-07-29 03:16:31,15,3,40,2,16,5,0.001,0.1,merge,graph,"[5.246329465869832, 4.642540860707985, 4.4574474359292475, 4.348118355588907, 4.275505108543724, 4.223372730729108, 4.184259455845735, 4.153230654063044, 4.127864275557816, 4.108340990664027, 4.09172668207827, 4.077160333902524, 4.0652765310689745, 4.054171688717719, 4.045653153342468]","[5.1352951114168635, 5.06018233525889, 5.053873681523501, 5.061509943960284, 5.056855420649279, 5.059935497467055, 5.065429858608391, 5.065685313690751, 5.076319426638092, 5.079469109896018, 5.087030883297721, 5.0919068648334695, 5.105119164905621, 5.1017131905138715, 5.096208495332261]","[189.8680706295654, 103.8077738706181, 86.26702570674526, 77.33281308209797, 71.91645575324927, 68.26333029895973, 65.64486998755824, 63.639265000012095, 62.04526973075268, 60.845690222005324, 59.843132610969846, 58.97775470453684, 58.28102280793701, 57.63740150825352, 57.14850058092935]","[169.91445617232887, 157.61925325075734, 156.62801792770105, 157.82864890987403, 157.09573878120037, 157.58035166372272, 158.44853790484873, 158.48901955955117, 160.18340285882715, 160.68872522595473, 161.90842268031088, 162.69981299410674, 164.86371533021034, 164.3031489170028, 163.40119493326824]"
2024-07-29 04:03:47,15,9,40,2,16,5,0.001,0.3,merge,graph,"[5.316983365589024, 4.7844752014434375, 4.610647700759306, 4.516704050772103, 4.457377313656443, 4.412137510510078, 4.378714286106427, 4.353772055952541, 4.333691018742241, 4.316257655559013, 4.30202051761401, 4.290866935112781, 4.278703215717654, 4.2705128712733895, 4.261196431875278]","[5.195860958144692, 5.095505016611556, 5.064298817640021, 5.051197946524892, 5.041163228763827, 5.043860209758744, 5.045128747084295, 5.0433571234402095, 5.0404382055703225, 5.046255542298233, 5.050561878164459, 5.050796719784972, 5.051521635100869, 5.044429895089153, 5.044461250985076]","[203.7682595622548, 119.63856046209793, 100.5492543783264, 91.53341078029992, 86.2609766789229, 82.44550342366294, 79.73545049656673, 77.77126791375274, 76.2251163093711, 74.90777240442927, 73.84885597167577, 73.0297531210974, 72.14682045547536, 71.55832641957865, 70.89475347623532]","[180.5234990866288, 163.2862860923959, 158.26942742683838, 156.20948305228669, 154.64980353782926, 155.067454063448, 155.26428773594068, 154.9894613690324, 154.53771948007406, 155.4393373962956, 156.11015473566604, 156.14682020250308, 156.2600544616621, 155.15581888493324, 155.16068401091687]"
2024-07-29 04:24:42,15,15,40,2,64,3,0.0001,0.1,merge,graph,"[6.474166037705807, 5.904220102261675, 5.8703744476011686, 5.78580054560091, 5.664012946683525, 5.528687738805056, 5.417021641875995, 5.3304575191745025, 5.262251179760064, 5.204049937543172, 5.152299171202099, 5.106858805616533, 5.065382475536118, 5.0276820051366915, 4.993472115928957]","[6.075653234517799, 6.031661728193175, 5.972414347810565, 5.886932484608776, 5.7603470694344, 5.647276646236204, 5.556670486702109, 5.492295984951955, 5.440254758438974, 5.397940773334144, 5.362846095606966, 5.32995767323476, 5.301350360546472, 5.27739375852189, 5.25453211766369]","[648.1784457627103, 366.5812184105595, 354.3816527865461, 325.642627565612, 288.30326992843607, 251.81324935822192, 225.20737443221503, 206.53244509731576, 192.9152898306794, 182.0078717551079, 172.82839593586726, 165.15076857351158, 158.44103030419365, 152.57892530268055, 147.44749052080306]","[435.1336540201005, 416.4064090500853, 392.4520435857726, 360.29836671146063, 317.45848993853156, 283.5182928800406, 258.9591912909666, 242.81406478348612, 230.50089803027282, 220.9509593133789, 213.33124436678412, 206.42923648955934, 200.60751963567452, 195.85875437926015, 191.4318972942087]"
2024-07-29 04:45:42,15,15,40,2,64,3,0.0001,0.3,merge,graph,"[6.501507718412479, 5.907477147272124, 5.860228059329001, 5.793852008298541, 5.685630659474223, 5.564735451519147, 5.464833886238079, 5.386551920755463, 5.3233525995547115, 5.2733483989283725, 5.229094510199693, 5.1892602349814085, 5.151920240564949, 5.117659147495711, 5.085391459062121]","[6.077304138327545, 6.032323441415463, 5.972523914193207, 5.899687587090258, 5.7853083430596115, 5.682862366370435, 5.604655900091495, 5.540382825203662, 5.49163222222958, 5.453552564584984, 5.416104525440144, 5.387290727867271, 5.35967424050817, 5.33471768307236, 5.315425956474161]","[666.1452357164059, 367.77713646114233, 350.8041390543232, 328.2751104821096, 294.6035810160657, 261.0561325705499, 236.23660969740925, 218.44885649545193, 205.07024921906333, 195.06803573721777, 186.62374109551178, 179.3358374696168, 172.76291836818936, 166.9441203091934, 161.643203550958]","[435.85261112849344, 416.6820418616798, 392.49504549228755, 364.923443260135, 325.4823848759336, 293.78915975287697, 271.6884213869235, 254.77551528013177, 242.6529473366074, 233.586524852851, 225.0009277299504, 218.61030769750138, 212.65566056497175, 207.41418400623314, 203.45115601156786]"
